seed,next_best_move,predicted_next_best_move
0, , 
1,"move(r4, c4, r0, c3)","move(r4, c4, r0, c3)"
2,"move(r4, c4, r4, c0)","move(r0, c4, r0, c3)"
3,"move(r4, c4, r4, c0)","move(r0, c4, r0, c3)"
4,"move(r4, c4, r3, c3)","move(r0, c4, r0, c3)"
5,"move(r4, c4, r4, c3)","move(r0, c4, r0, c3)"
6,"move(r4, c4, r0, c2)","move(r4, c4, r0, c2)"
7,"move(r4, c4, r0, c2)","move(r0, c4, r0, c2)"
8,"move(r4, c4, r4, c0)","move(r0, c4, r0, c2)"
9,"move(r4, c4, r4, c0)","move(r1, c4, r0, c3)"
10,"move(r4, c4, r0, c2)", 
11,"move(r4, c4, r4, c0)","move(r0, c4, r1, c2)"
12,"move(r4, c4, r4, c0)","move(r0, c4, r0, c2)"
13,"move(r4, c4, r4, c0)","move(r0, c4, r0, c2)"
14,"move(r4, c4, r4, c0)","move(r0, c4, r0, c2)"
15,"move(r4, c4, r2, c2)","move(r0, c4, r0, c2)"
16,"move(r4, c4, r2, c2)","move(r0, c4, r0, c2)"
17,"move(r4, c4, r2, c2)", 
18,"move(r4, c4, r3, c2)","move(r0, c4, r0, c2)"
19,"move(r4, c4, r3, c2)","move(r0, c4, r0, c2)"
20,"move(r4, c4, r4, c2)","move(r0, c4, r0, c2)"
21,"move(r4, c4, r0, c1)","move(r4, c4, r0, c1)"
22,"move(r4, c4, r0, c1)","move(r0, c4, r0, c1)"
23,"move(r4, c4, r4, c0)","move(r0, c4, r0, c1)"
24,"move(r4, c4, r4, c0)","move(r0, c4, r0, c1)"
25,"move(r4, c4, r0, c1)","move(r0, c4, r0, c1)"
26,"move(r4, c4, r0, c1)", 
27,"move(r4, c4, r0, c1)", 
28,"move(r4, c4, r4, c0)","move(r0, c4, r0, c1)"
29,"move(r4, c4, r0, c1)","move(r0, c4, r0, c1)"
30,"move(r4, c4, r4, c0)","move(r0, c4, r0, c1)"
31,"move(r4, c4, r4, c0)","move(r0, c4, r0, c1)"
32,"move(r4, c4, r0, c1)","move(r0, c4, r0, c1)"
33,"move(r4, c4, r0, c1)","move(r0, c4, r0, c1)"
34,"move(r4, c4, r0, c1)", 
35,"move(r4, c4, r0, c1)","move(r0, c4, r0, c1)"
36,"move(r4, c4, r1, c1)","move(r0, c4, r0, c1)"
37,"move(r4, c4, r4, c0)","move(r0, c4, r0, c3)"
38,"move(r4, c4, r4, c0)", 
39,"move(r4, c4, r4, c0)","move(r0, c4, r0, c1)"
40,"move(r4, c4, r4, c0)","move(r0, c4, r0, c1)"
41,"move(r4, c4, r4, c0)","move(r0, c4, r0, c1)"
42,"move(r4, c4, r0, c2)", 
43,"move(r4, c4, r1, c1)","move(r0, c4, r0, c1)"
44,"move(r4, c4, r1, c1)","move(r0, c4, r0, c1)"
45,"move(r4, c4, r1, c1)", 
46,"move(r4, c4, r4, c0)","move(r0, c4, r0, c1)"
47,"move(r4, c4, r2, c1)","move(r0, c4, r0, c1)"
48,"move(r4, c4, r2, c1)","move(r0, c4, r0, c1)"
49,"move(r4, c4, r2, c1)","move(r0, c4, r0, c1)"
50,"move(r4, c4, r0, c2)","move(r0, c4, r0, c1)"
51,"move(r4, c4, r2, c1)","move(r0, c4, r0, c1)"
52,"move(r4, c4, r3, c1)","move(r0, c4, r0, c1)"
53,"move(r4, c4, r3, c1)","move(r0, c4, r0, c1)"
54,"move(r4, c4, r3, c1)","move(r0, c4, r0, c2)"
55,"move(r4, c4, r4, c1)","move(r0, c4, r0, c1)"
56,"move(r4, c4, r0, c0)","move(r4, c4, r0, c0)"
57,"move(r4, c4, r0, c0)","move(r0, c4, r0, c0)"
58,"move(r4, c4, r4, c0)","move(r0, c4, r0, c0)"
59,"move(r4, c4, r4, c0)", 
60,"move(r4, c4, r0, c0)","move(r0, c4, r0, c0)"
61,"move(r4, c4, r0, c0)","move(r0, c4, r0, c0)"
62,"move(r4, c4, r0, c0)","move(r0, c4, r0, c0)"
63,"move(r4, c4, r4, c0)","move(r0, c4, r0, c0)"
64,"move(r4, c4, r0, c0)","move(r0, c4, r0, c0)"
65,"move(r4, c4, r4, c0)","move(r0, c4, r0, c0)"
66,"move(r4, c4, r4, c0)","move(r1, c4, r0, c0)"
67,"move(r4, c4, r0, c0)", 
68,"move(r4, c4, r0, c0)","move(r0, c4, r0, c0)"
69,"move(r4, c4, r0, c0)", 
70,"move(r4, c4, r0, c0)","move(r0, c4, r0, c0)"
71,"move(r4, c4, r0, c0)","move(r0, c4, r0, c0)"
72,"move(r4, c4, r0, c0)","move(r0, c4, r0, c0)"
