seed,best_plan_length,agent_plan_length,actual_plan_length_difference,tolerance,acceptable
0,0,0,0,3,True
1,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
2,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
3,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
4,7,15,8,3,False
5,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
6,1,1,0,3,True
7,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
8,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
9,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
10,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
11,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
12,6,0,6,3,False
13,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
14,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
15,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
16,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
17,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
18,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
19,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
20,16,15,-1,3,True
21,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
22,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
23,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
24,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
25,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
26,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
27,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
28,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
29,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
30,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
31,8,0,8,3,False
32,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
33,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
34,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
35,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
36,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
37,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
38,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
39,17,0,17,3,False
40,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
41,9,0,9,3,False
42,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
43,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
44,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
45,16,20,4,3,False
46,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
47,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
48,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
49,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
50,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
51,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
52,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
53,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
54,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
55,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
56,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
57,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
58,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
59,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
60,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
61,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
62,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
63,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
64,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
65,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
66,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
67,17,0,17,3,False
68,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
69,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
70,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
71,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
72,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
73,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
74,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
75,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
76,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
77,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
78,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
79,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
80,8,8,0,3,True
81,6,0,6,3,False
82,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
83,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
84,13,0,13,3,False
85,15,0,15,3,False
86,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
87,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
88,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
89,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
90,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
91,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
92,5,0,5,3,False
93,12,11,-1,3,True
