seed,best_plan_length,agent_plan_length,actual_plan_length_difference,tolerance,acceptable
15000,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
15001,8,7,-1,3,True
15002,6,6,0,3,True
15003,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
15004,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
15005,7,9,2,3,True
15006,6,6,0,3,True
15007,5,5,0,3,True
15008,6,6,0,3,True
15009,7,7,0,3,True
15010,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
15011,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
15012,8,7,-1,3,True
15013,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
15014,15,17,2,3,True
15015,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
15016,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
15017,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
15018,6,6,0,3,True
15019,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
15020,5,7,2,3,True
15021,6,6,0,3,True
15022,5,4,-1,3,True
15023,6,5,-1,3,True
15024,5,5,0,3,True
15025,4,4,0,3,True
15026,9,11,2,3,True
15027,5,5,0,3,True
15028,6,6,0,3,True
15029,9,10,1,3,True
15030,6,8,2,3,True
15031,5,12,7,3,False
15032,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
15033,5,6,1,3,True
15034,4,5,1,3,True
15035,3,4,1,3,True
15036,5,6,1,3,True
15037,4,5,1,3,True
15038,5,6,1,3,True
15039,8,9,1,3,True
15040,5,6,1,3,True
15041,4,5,1,3,True
15042,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
15043,5,6,1,3,True
15044,6,7,1,3,True
15045,9,9,0,3,True
15046,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
15047,Invalid Move,Invalid Move,Invalid Move,3,Invalid Move
15048,7,7,0,3,True
